task_name,window_index,ctx_used,horizon,radius,kept_mass_frac_ctxQ,dropped_mass_frac_ctxQ,kept_edges_frac_ctxQ,S_tokens,ctx_tokens,future_tokens,q_sel_ctx_queries,exclude_reg_query,probe_weight_sum
monash_tourism_yearly,0,7,4,8,0.10416666666666667,0.8958333333333334,0.6666666666666664,3,2,1,2,False,512.0
monash_tourism_yearly,0,7,4,16,0.10416666666666667,0.8958333333333334,0.6666666666666664,3,2,1,2,False,512.0
monash_tourism_yearly,0,7,4,32,0.10416666666666667,0.8958333333333334,0.6666666666666664,3,2,1,2,False,512.0
monash_tourism_yearly,0,7,4,64,0.10416666666666667,0.8958333333333334,0.6666666666666664,3,2,1,2,False,512.0
monash_tourism_yearly,0,7,4,128,0.10416666666666667,0.8958333333333334,0.6666666666666664,3,2,1,2,False,512.0
monash_traffic,0,8192,24,2,0.009686005177259871,0.9903139948227402,0.009686027366150018,515,513,2,513,False,131328.0
monash_traffic,0,8192,24,4,0.017400019274921866,0.9825999807250781,0.017400026495580916,515,513,2,513,False,131328.0
monash_traffic,0,8192,24,8,0.03273722530757583,0.9672627746924242,0.032737182762732076,515,513,2,513,False,131328.0
monash_traffic,0,8192,24,16,0.06304811076020536,0.9369518892397947,0.06304812733019177,515,513,2,513,False,131328.0
monash_traffic,0,8192,24,32,0.12221648910074538,0.8777835108992547,0.1222165445977404,515,513,2,513,False,131328.0
monash_traffic,0,8192,24,64,0.23473943756095278,0.7652605624390472,0.23473949166335462,515,513,2,513,False,131328.0
monash_traffic,0,8192,24,128,0.4365298239755438,0.5634701760244563,0.43652983591665245,515,513,2,513,False,131328.0
monash_weather,0,1302,30,2,0.05797306874557052,0.9420269312544295,0.05797306874557052,85,83,2,83,False,21248.0
monash_weather,0,1302,30,4,0.10304748405386253,0.8969525159461375,0.10304748405386253,85,83,2,83,False,21248.0
monash_weather,0,1302,30,8,0.18979447200566973,0.8102055279943303,0.18979447200566973,85,83,2,83,False,21248.0
monash_weather,0,1302,30,16,0.34968107725017694,0.6503189227498231,0.34968107725017694,85,83,2,83,False,21248.0
monash_weather,0,1302,30,32,0.6150248051027637,0.3849751948972363,0.6150248051027637,85,83,2,83,False,21248.0
monash_weather,0,1302,30,64,0.9279943302622253,0.07200566973777467,0.9279943302622253,85,83,2,83,False,21248.0
monash_weather,0,1302,30,128,0.9764705882352938,0.023529411764706243,0.9764705882352938,85,83,2,83,False,21248.0
nn5,0,735,56,2,0.09553608589332384,0.9044639141066761,0.09553608677513556,51,47,4,47,False,5217.0
nn5,0,735,56,4,0.16812682243721522,0.8318731775627848,0.16812682519816444,51,47,4,47,False,5217.0
nn5,0,735,56,8,0.30329578767032106,0.6967042123296789,0.3032957863996662,51,47,4,47,False,5217.0
nn5,0,735,56,16,0.5335836457697123,0.4664163542302877,0.5335836462244473,51,47,4,47,False,5217.0
nn5,0,735,56,32,0.8339591153992361,0.16604088460076394,0.8339591155611187,51,47,4,47,False,5217.0
nn5,0,735,56,64,0.9215686273745126,0.07843137262548738,0.9215686274509797,51,47,4,47,False,5217.0
nn5,0,735,56,128,0.9215686273745126,0.07843137262548738,0.9215686274509797,51,47,4,47,False,5217.0
